	Rp_01.1	Rp_02.1	Rp_03.2	Rp_04.1	Rp_05.1	Rp_06.1	Rp_01.6	Rp_02.6	Rp_03.6	Rp_05.4	Rp_05.5	Rp_05.6	Rp_06.6	Rp_01.4	Rp_01.5	Rp_02.4	Rp_02.5	Rp_03.4	Rp_03.5	Rp_04.4	Rp_04.5	Rp_06.4	Rp_06.5	Rp_04.6
ASV_227	0.003187107	0.004937511	0.005213941	0.00437107	0.004629528	0.00384113	0.004742904	0.002340615	0.002834121	0.004231685	0.00283411	0.001227877	0.003319808	0.000402623	0.004221028	0.001030683	0.002650537	0.00058117	0.005151145	0.000683475	0.004392588	0.000807494	0.002045129	0.001688001
ASV_228	0.00268741	0.003146718	0.002317721	0.002846727	0.00240133	0.002138187	0.000752842	0.001393223	0	0.002336243	0.001574506	0.00071979	0	0.00023007	0.001206008	0.002219932	0.004077749	0.00058117	0.001558899	0.001291009	0.001853123	0	0.00279501	0.000492334
ASV_233	0.00281311	0.003085614	0.002176951	0.002961471	0.001983318	0.001964479	0.001053979	0.000780205	0	0.001190161	0.001385565	0.000677449	0	0.000690211	0.001918649	0.000792833	0.003534049	0.000774893	0.001626678	0.000987242	0.002402196	0	0.002522326	0.001055001
ASV_248	0.001419842	0.00152702	0.001444799	0.000900898	0.001143022	0.000529263	0	0.000668747	0.000777994	0.000617121	0	0.000550428	0	0.00046014	0	0	0.000339812	0	0.000542226	0.000683475	0.001029513	0	0	0.001336334
ASV_256	0.001375799	0.001319658	0.00147972	0.001403703	0.001613214	0.000369437	0	0.001950513	0.000889136	0.000528961	0	0.000465746	0	0.00023007	0	0	0.000407775	0	0.000135556	0.000721446	0.000411805	0	0	0.000914334
ASV_257	0.002518023	0.002230163	0.002357143	0.002671709	0.001991325	0.002966565	0.002559663	0.001281765	0.001000278	0.001719122	0.001763446	0.000931493	0.001352514	0	0.001315645	0.000872116	0	0.002130957	0.00115223	0.000569563	0.001304049	0.004521964	0.002999523	0
ASV_260	0.002613798	0.002382221	0.002290509	0.002016359	0.00199184	0.001748668	0	0.001003121	0	0.001190161	0.001952387	0.001566602	0.002459117	0.001668009	0.001699375	0.000317133	0	0	0.001355565	0.001253038	0.001715854	0	0.003613062	0.002883669
ASV_261	0.003120797	0.00270933	0.002266297	0.002902213	0.002539603	0.003114711	0.00090341	0	0.002333982	0.001234241	0.002015367	0	0	0.002243184	0.001754194	0.001030683	0.000747587	0.000678032	0.001084452	0.000759417	0.001372684	0	0.004362942	0.004431003
ASV_275	0.003005897	0.002446189	0.001957543	0.001902222	0.001949606	0.001736486	0	0.000445831	0.001333704	0.001013841	0.001196624	0	0	0.000747728	0.002192742	0.000634266	0	0.00232468	0.002101125	0.000949271	0.002402196	0	0.003749404	0
ASV_276	0.001480879	0.001377618	0.00098648	0.00138917	0.000991893	0.000167926	0	0.000557289	0.00055571	0.00030856	0	0.000592768	0	0.000517658	0	0	0.000475737	0	0.000610004	0.000341738	0.000343171	0	0	0.001195667
ASV_279	0.001966727	0.002638758	0.001698921	0.001704647	0.002438532	0.001307808	0	0.001114579	0	0.002777043	0.001259604	0.001185536	0	0.001610491	0.001809012	0.000951399	0	0	0.002033347	0.001139125	0.001578586	0	0.002726839	0.001899001
ASV_287	0.00230928	0.002025602	0.002127027	0.003032618	0.002358628	0.002621849	0.000752842	0	0.003556543	0.001719122	0.002330268	0	0	0.001150351	0.001096371	0.001427099	0.000611662	0.000774893	0.00115223	0.000759417	0.001990391	0	0.002726839	0.002602335
ASV_296	4.11294E-05	9.57835E-05	0.000202697	0.000199716	0.000110833	9.33E-05	0	0	0.000166713	0	0	0.000127022	0	0.00023007	0	0	0	0	0	0	0	0	0	0.000140667
ASV_302	0.002193699	0.002704286	0.001319032	0.001827313	0.001431734	0.00190853	0	0.000780205	0.001555988	0.001498722	0.001889407	0	0	0.001035316	0.00115119	0.0004757	0	0.00116234	0.001355565	0.001215067	0.002264928	0	0.003204036	0
ASV_303	0.00010919	0.000176139	7.4136E-05	9.85E-05	3.28669E-05	6.03E-05	0	0	0	0	0	0.000127022	0	0	0	0	0	0	0	0.000113913	0	0	0	0.000211
ASV_304	0.001071256	0.001456254	0.001329948	0.001269432	0.001069455	0.000646811	0	0.000390103	0.000500139	0.000573041	0	0.000550428	0	0.000575175	0	0	0.000611662	0	0.000542226	0.000341738	0.00082361	0	0	0.000633
ASV_306	0.001324478	0.000960753	0.0012346	0.000935868	0.000492489	0.000315321	0	0.000334374	0.00055571	0.00026448	0	0.000169362	0	0.000287588	0	0	0.000407775	0	0.000203335	0.000493621	0.000343171	0	0	0.000914334
ASV_325	0.000944154	0.000427004	0.000807995	0.00097724	0.000292257	0.000465586	0	0.000390103	0.000889136	0	0.000377881	0	0	0	0.000274093	0	0.000679625	0	0	0	0	0.000968992	0.000340855	0
ASV_327	0.001771224	0.003058026	0.003631165	0.004368239	0.003789572	0.002746304	0.001882105	0.002507802	0.001500417	0.002688883	0.00270815	0.001058515	0.001106603	0.00023007	0.002740928	0.000396416	0.002378687	9.69E-05	0.003660024	0.000569563	0.002608099	0.000968992	0.000954394	0.002321002
ASV_338	0.001124073	0.000962481	0.001275523	0.001371485	0.001055221	0.000251889	0	0.001337494	0.000500139	0.0004408	0	0.000550428	0	0.000517658	0	0	0.00081555	0	0.000203335	0.000341738	0.000137268	0	0	0.000984667
ASV_343	0.001093919	0.000803908	0.000894133	0.000794799	0.000852307	0.000218304	0	0.000613018	0.000500139	0.00035264	0	0.000635109	0	0.00023007	0	0	0.00027185	0	0.000677782	0.00045565	0.000274537	0	0	0.001125334
ASV_353	0.001872393	0.001399352	0.003620663	0.001994212	0.00260755	0.002168114	0	0	0	0.003129684	0	0	0	0	0	0	0	0.003583882	0	0.000607533	0	0	0.001022565	0
ASV_359	0.00209858	0.001284337	0.003215062	0.002122177	0.003145937	0.001619343	0	0	0	0.003834964	0	0	0	0.001265386	0	0	0	0.002712127	0	0.000987242	0	0	0.000818052	0
ASV_370	0.001000606	0.000838622	0.001310237	0.001058947	0.000632469	0.000344544	0	0.00050156	0.000666852	0.0004408	0	0.000338725	0	0.000575175	0	0	0.000407775	0	0.000338891	0.000417679	0.000205903	0	0	0.001266001
ASV_373	0.001785573	0.002116158	0.001397876	0.00219727	0.00198183	0.001734368	0.000225853	0	0.000722423	0.001190161	0.001700466	0.001524261	0.003319808	0.000345105	0.000931915	0.000872116	0.000951475	0.000484308	0.000745561	0.000417679	0.001441318	0	0.002726839	0.002250668
ASV_374	0.002312169	0.001857581	0.001362955	0.002116777	0.002214873	0.001980647	0	0.001783326	0	0.001763202	0.002141328	0.000804471	0	0	0.001041552	0.000554983	0.001834987	0	0.001626678	0.000759417	0.001235415	0	0.002931352	0
ASV_384	0.003759329	0.0020843	0.002809254	0.003322394	0.002646946	0.001766494	0	0.00105885	0.00277855	0.000705281	0	0	0	0.002243184	0	0.00483628	0	0.003099574	0	0.00136695	0	0	0	0.000633
ASV_385	0.000927984	0.00085835	0.000939557	0.000518039	0.000522041	0.000380622	0	0.000278645	0.000166713	0.00013224	0	0.000211703	0	0.000402623	0	0	0.000339812	0	6.78E-05	0.000607533	0.000617708	0	0	0.001406668
ASV_394	0.001045085	0.00114726	0.00121639	0.001079071	0.000718269	0.000497547	0	0.000334374	0.000500139	0.00013224	0	0.000296384	0	0.000345105	0	0	0.000339812	0	0.000203335	0.000227825	0.000205903	0	0	0.000773667
ASV_396	0.003347205	0.001664863	0.00299074	0.003286124	0.002140397	0.001317948	0	0.001950513	0.003223118	0.001498722	0	0	0	0.000862763	0	0.003805597	0	0.003002712	0	0.001518834	0	0	0	0.001055001
ASV_413	0.001016507	0.001147588	0.000771574	0.000671306	0.000419666	0.000231981	0	0.000111458	0.000388997	0.00030856	0	0.000296384	0	0.000287588	0	0	0.0005437	0	0.000813339	0.000303767	0.000480439	0	0	0.001125334
ASV_414	0.000658078	0.000389056	0.00024512	0.000574657	0.000127923	0.000382869	0	0.000334374	0.000611281	0	0.00012596	0	0	0	0.000219274	0	0.000407775	0	0	0	0	0.000484496	0.00068171	0
ASV_417	0.00302696	0.001575107	0.0024647	0.002336115	0.003532634	0.005905353	0.00090341	0.001616139	0.00277855	0.001190161	0.001763446	0.00143958	0.001229559	0.000690211	0.000328911	0.000396416	0.002786462	0.002615265	0.001694456	0.001139125	0.001098147	0.000645995	0.0021133	0.002391335
ASV_419	0.000796606	0.000844134	0.000744361	0.000846426	0.000606747	0.000167926	0	0.000835934	0.000277855	0.000484881	0	0.000423406	0	0.000402623	0	0	0.000407775	0	0.000338891	0.000227825	0.000205903	0	0	0.001125334
ASV_420	0.000727992	0.000798103	0.000912344	0.001139142	0.001054936	0.000134341	0	0.000668747	0.000388997	0.000573041	0	0	0	0	0	0	0.0005437	0	0	0.000379708	0	0	0	0.000773667
ASV_427	0.001768152	0.001613426	0.001252604	0.001409897	0.0014582	0.001401462	0	0.000278645	0.000388997	0.000881601	0.001259604	0	0	0.001265386	0.001754194	0.0004757	0	0.002518404	0.000813339	0.000835358	0.001509952	0	0.002658668	0
ASV_431	0.00147357	0.002568393	0.002552339	0.002314259	0.00256493	0.001971803	0.002183242	0.001950513	0.001389275	0.002821123	0.002519209	0.000762131	0.001229559	0.000345105	0.001809012	0.0004757	0.001699062	9.69E-05	0.003253355	0.000683475	0.002059025	0.00129199	0.000613539	0.000633
ASV_432	0.001690557	0.001639994	0.001349452	0.002049288	0.001700033	0.001395684	0.000376421	0	0.00111142	0.001719122	0.001070664	0.000973834	0	0.000287588	0.000657823	0.001427099	0.0005437	0.00058117	0.000677782	0.001101154	0.001509952	0	0.002249642	0.002110001
ASV_437	0.000905036	0.001070193	0.000794285	0.000845107	0.000875514	0.000151134	0	0.000613018	0.000611281	0.000661201	0	0.000338725	0	0.000345105	0	0	0.000679625	0	0.000474448	0.000379708	0.000205903	0	0	0.001055001
ASV_441	0.000798887	0.000839898	0.001078827	0.001022968	0.000946105	0	0	0.000613018	0.000444568	0.00035264	0	0.000254044	0	0.00023007	0	0	0.0005437	0	0	0.000113913	0	0	0	0.000773667
ASV_451	0.00195321	0.002101331	0.00134045	0.001158852	0.001212126	0.002166994	0	0	0.000944707	0.000969761	0.001511525	0	0	0.000632693	0.00115119	0.001030683	0	0	0	0.000303767	0.001235415	0	0.002522326	0
ASV_453	0.000559079	0.000272933	2.45E-04	0.000657186	0.00027671	0.000460184	0	0.00050156	0.000500139	0	0.000188941	0	0	0	0.000164456	0	0.000407775	0	0	0	0	0.000645995	0.000272684	0
ASV_460	0.00321148	0.002534533	0.003835363	0.003829957	0.002795274	0.004256038	0.002484379	0	0.002667408	0.002159922	0	0.001820645	0	0	0.002412016	0	0	0	0	0.000873329	0	0	0	0
ASV_461	0.002541865	0.001597049	0.002694609	0.002179391	0.003810419	0.005076468	0.001355116	0.00261926	0.002056127	0.001983602	0.000818743	0.001608942	0.000491823	0.000805246	0	0.00071355	0.002106837	0.001356064	0.000610004	0.001594775	0.001578586	0	0.001363419	0.001547334
ASV_464	0.000668372	0.00095915	0.000866921	0.000587052	0.000578169	0.000100756	0	0.00050156	0.000388997	0.00039672	0	0.000550428	0	0.000517658	0	0	0.00081555	0	6.78E-05	0.000493621	6.86E-05	0	0	0.000773667
ASV_476	0.000653335	0.00080802	0.000941057	0.000807909	0.000616693	0.000117548	0	0.000557289	0.000111142	0.00039672	0	0	0	0	0	0	0.0005437	0	0	0.000531592	0	0	0	0.000281334
ASV_477	0.000791863	0.000693129	0.000836708	0.000569364	0.00065945	0	0	0.000445831	0.000222284	0.00030856	0	0.000296384	0	0.000575175	0	0	0.000407775	0	0	0.000493621	0	0	0	0.000703334
ASV_478	0.001164721	0.002009448	0.002583846	0.003538075	0.005135673	0.004315857	0	0.002674989	0	0.002380323	0	0	0	0	0.001041552	0	0	0.004746222	0	0.001291009	0	0	0	0.003868336
